Series Description,Total reserve balances maintained; not seasonally adjusted,"Reserves of depository institutions, total; not seasonally adjusted","Reserves of depository institutions, required; not seasonally adjusted","Vault cash, total; not seasonally adjusted",Monetary base; total; not seasonally adjusted,Monetary base; total balances maintained; not seasonally adjusted,Monetary base; currency in circulation; not seasonally adjusted,Total borrowings from the Federal Reserve; not seasonally adjusted,"Borrowings from the Federal Reserve, seasonal; not seasonally adjusted","Reserves of depository institutions, nonborrowed; not seasonally adjusted"
2018-01,2214601,2281018,193209,77207,3824795,2214601,1610195,58,7,2280960
2018-02,2238775,2305256,190487,78788,3855056,2238775,1616281,20,14,2305236
2018-03,2167009,2230875,184151,75300,3800608,2167009,1633598,16,12,2230859
2018-04,2086192,2151047,191270,75670,3727119,2086192,1640927,51,35,2150996
2018-05,2022453,2086577,192267,73929,3674755,2022453,1652301,94,69,2086483
2018-06,1988224,2052749,190028,74661,3650485,1988224,1662261,143,126,2052605
2018-07,1949820,2014613,190529,75448,3618272,1949820,1668452,224,203,2014388
2018-08,1911165,1976094,188549,76485,3584450,1911165,1673285,261,243,1975833
2018-09,1873866,1938011,190901,74945,3559828,1873866,1685962,290,252,1937721
2018-10,1830017,1895798,189602,75871,3520863,1830017,1690846,209,189,1895589
2018-11,1775291,1840828,192074,76556,3476330,1775291,1701039,97,86,1840731
2018-12,1691394,1759856,192165,80801,3400747,1691394,1709353,76,58,1759780
2019-01,1639030,1707256,199356,80376,3346879,1639030,1707849,26,6,1707230
2019-02,1645233,1713683,193579,81286,3353467,1645233,1708234,19,12,1713664
2019-03,1661297,1725938,193064,76804,3381465,1661297,1720168,15,8,1725923
